file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassCoupling.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassCoupling,class,3,4,1,3,3,2,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/filters/method/IgnoreMethod.java,com.github.mauricioaniche.codesheriff.filters.method.IgnoreMethod,class,3,4,1,3,2,1,0,2,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,0,1,0,1,0,0,0,0,11,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffCKNotifier.java,com.github.mauricioaniche.codesheriff.runner.SheriffCKNotifier,class,4,5,1,4,4,1,0,4,0,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,16,1,1,0,0,0,0,0,2,0,3,1,0,0,1,14,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassComplexity.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassComplexity,class,3,4,1,3,3,2,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,18,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodNumberOfVariables.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodNumberOfVariables,class,4,5,1,4,3,2,0,1,3,0.0,0.0,0.0,3,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,21,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/dsl/ComparisonOperator.java,com.github.mauricioaniche.codesheriff.dsl.ComparisonOperator,interface,0,13,13,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/runner/SheriffRunner.java,com.github.mauricioaniche.codesheriff.runner.SheriffRunner,class,4,5,1,4,3,1,0,6,1,0.33333334,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,14,1,0,0,0,0,1,1,2,0,2,0,0,0,0,11,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/MethodExpectation.java,com.github.mauricioaniche.codesheriff.expectations.method.MethodExpectation,interface,3,5,2,3,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/junit/CodeSheriffJUnit5.java,com.github.mauricioaniche.codesheriff.junit.CodeSheriffJUnit5,class,5,6,1,5,6,1,0,30,3,0.0,NaN,NaN,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,41,4,0,0,2,0,0,0,8,0,12,2,0,0,4,25,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/clazz/ClassExpectation.java,com.github.mauricioaniche.codesheriff.expectations.clazz.ClassExpectation,interface,2,4,2,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
/home/max/SoftwareMiniProjects/Sandbox/ck-metrics-collector-plus/srcProjectsBundle/pr5_javaSE_CodeSeriff/src-git/codesheriff-main/src/main/java/com/github/mauricioaniche/codesheriff/expectations/method/DefaultMethodExpectation.java,com.github.mauricioaniche.codesheriff.expectations.method.DefaultMethodExpectation,class,6,11,5,6,5,1,4,7,4,0.5,0.0,0.0,4,0,2,0,2,0,4,2,0,0,1,0,0,1,0,0,1,0,1,15,0,0,0,0,0,0,0,3,0,3,1,0,0,0,19,1025,0
